Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Release,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2017","2017","July 2025 (SOFI report)","LCU/cap/d","97.34","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2018","2018","July 2025 (SOFI report)","LCU/cap/d","99.49","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2019","2019","July 2025 (SOFI report)","LCU/cap/d","109.92","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2020","2020","July 2025 (SOFI report)","LCU/cap/d","126.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","140.33","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2022","2022","July 2025 (SOFI report)","LCU/cap/d","174.55","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2023","2023","July 2025 (SOFI report)","LCU/cap/d","241.77","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70041","Cost of a healthy diet (CoHD), LCU per person per day","2024","2024","July 2025 (SOFI report)","LCU/cap/d","256.13","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2017","2017","July 2025 (SOFI report)","Int$ (PPP) per person per day","2.97","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","July 2025 (SOFI report)","Int$ (PPP) per person per day","2.91","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2019","2019","July 2025 (SOFI report)","Int$ (PPP) per person per day","2.95","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2020","2020","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.18","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2022","2022","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2023","2023","July 2025 (SOFI report)","Int$ (PPP) per person per day","4.08","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2024","2024","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.95","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70071","Cost of starchy staples, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","19.15","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70070","Cost of starchy staples, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","0.45","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70081","Cost of animal source foods, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","46.11","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70080","Cost of animal source foods, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","1.08","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70091","Cost of legumes, nuts and seeds, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","14.04","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70090","Cost of legumes, nuts and seeds, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","0.33","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70101","Cost of vegetables, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","16.58","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70100","Cost of vegetables, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","0.39","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70111","Cost of fruits, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","32.77","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70110","Cost of fruits, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","0.77","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6205","Value","70121","Cost of oils and fats, LCU per person per day","2021","2021","July 2025 (SOFI report)","LCU/cap/d","11.68","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","70120","Cost of oils and fats, PPP dollar per person per day","2021","2021","July 2025 (SOFI report)","Int$ (PPP) per person per day","0.27","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2017","2017","July 2025 (SOFI report)","%","58.6","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2018","2018","July 2025 (SOFI report)","%","57.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2019","2019","July 2025 (SOFI report)","%","58.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2020","2020","July 2025 (SOFI report)","%","61","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2021","2021","July 2025 (SOFI report)","%","59.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2022","2022","July 2025 (SOFI report)","%","59.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2023","2023","July 2025 (SOFI report)","%","63.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6121","Value","7005","Prevalence of unaffordability (PUA), percent","2024","2024","July 2025 (SOFI report)","%","60.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2017","2017","July 2025 (SOFI report)","million No","130.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","July 2025 (SOFI report)","million No","130.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2019","2019","July 2025 (SOFI report)","million No","135.5","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2020","2020","July 2025 (SOFI report)","million No","143.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2021","2021","July 2025 (SOFI report)","million No","142.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","July 2025 (SOFI report)","million No","144.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2023","2023","July 2025 (SOFI report)","million No","157.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6132","Value","7006","Number of people unable to afford a healthy diet (NUA), million","2024","2024","July 2025 (SOFI report)","million No","151.4","E","Estimated value"
